 -1.9048849, -1.9048849, -1.9048849
 -1.7995292, -1.7995292, -1.7995292
 -1.7186034, -1.7186034, -1.7186034
 -1.617675, -1.617675, -1.617675
 -1.5141517, -1.5141517, -1.5141517
 -1.4365844, -1.4365844, -1.4365844
 -1.328633, -1.328633, -1.328633
 -1.2345755, -1.2345755, -1.2345755
 -1.1521231, -1.1521231, -1.1521231
 -1.0463088, -1.0463088, -1.0463088
 -0.9666045, -0.9666045, -0.9666045
 -0.8624701, -0.8624701, -0.8624701
 -0.76169497, -0.76169497, -0.76169497
 -0.6798529, -0.6798529, -0.6798529
 -0.5755652, -0.5755652, -0.5755652
 -0.485784, -0.485784, -0.485784
 -0.39172655, -0.39172655, -0.39172655
 -0.28866106, -0.28866106, -0.28866106
 -0.20880418, -0.20880418, -0.20880418
 -0.10146317, -0.10146317, -0.10146317
 -0.009085697, -0.009085697, -0.009085697
 0.07168747, 0.07168747, 0.07168747
 0.17796035, 0.17796035, 0.17796035
 0.26300827, 0.26300827, 0.26300827
 0.36088273, 0.36088273, 0.36088273
 0.46425414, 0.46425414, 0.46425414
 0.54395765, 0.54395765, 0.54395765
 0.64763427, 0.64763427, 0.64763427
 0.742608, 0.742608, 0.742608
 0.8316263, 0.8316263, 0.8316263
 0.9377458, 0.9377458, 0.9377458
 1.0176027, 1.0176027, 1.0176027
 1.1221956, 1.1221956, 1.1221956
 1.2176263, 1.2176263, 1.2176263
 1.2985522, 1.2985522, 1.2985522
 1.4061991, 1.4061991, 1.4061991
 1.4962862, 1.4962862, 1.4962862
 1.5889689, 1.5889689, 1.5889689
 1.6953936, 1.6953936, 1.6953936
 1.7706697, 1.7706697, 1.7706697
 1.8778582, 1.8778582, 1.8778582
 1.9774126, 1.9774126, 1.9774126
 2.061545, 2.061545, 2.061545
 2.1693437, 2.1693437, 2.1693437
 2.2562242, 2.2562242, 2.2562242
 2.2646227, 2.2646227, 2.2646227
 2.1597247, 2.1597247, 2.1597247
 2.080173, 2.080173, 2.080173
 1.9729844, 1.9729844, 1.9729844
 1.8757211, 1.8757211, 1.8757211
 1.7882296, 1.7882296, 1.7882296
 1.6847055, 1.6847055, 1.6847055
 1.6025583, 1.6025583, 1.6025583
 1.4999505, 1.4999505, 1.4999505
 1.3990221, 1.3990221, 1.3990221
